"","Age","Gender","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
0,0.3518518518518518,0,"No","No","Yes","Often","6-25","No","Yes","Yes","Not sure","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
1,0.48148148148148145,1,"No","No","No","Rarely","More than 1000","No","No","Dont know","No","Dont know","Dont know","Dont know","Dont know","Maybe","No","No","No","No","No","Dont know","No"
2,0.25925925925925924,1,"No","No","No","Rarely","6-25","No","Yes","No","No","No","No","Dont know","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","No","No"
3,0.24074074074074076,1,"No","Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
4,0.24074074074074076,1,"No","No","No","Never","100-500","Yes","Yes","Yes","No","Dont know","Dont know","Dont know","Dont know","No","No","Some of them","Yes","Yes","Yes","Dont know","No"
5,0.27777777777777773,1,"No","Yes","No","Sometimes","6-25","No","Yes","Yes","Not sure","No","Dont know","Dont know","Dont know","No","No","Yes","Yes","No","Maybe","Dont know","No"
6,0.3148148148148148,0,"No","Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Dont know","No"
7,0.3888888888888889,1,"No","No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Dont know","No","No","No","No","No","No","No","No"
8,0.44444444444444436,0,"No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No"
9,0.09259259259259262,1,"No","No","No","Never","26-100","No","Yes","Dont know","No","Dont know","Dont know","Dont know","Dont know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
10,0.24074074074074076,1,"No","No","Yes","Sometimes","6-25","Yes","Yes","Dont know","No","No","No","Dont know","Dont know","No","No","Some of them","Yes","No","No","Dont know","No"
11,0.20370370370370366,1,"No","No","No","Never","100-500","Yes","Yes","Dont know","Not sure","No","No","Dont know","Dont know","No","No","Yes","Yes","Yes","Yes","Dont know","No"
12,0.44444444444444436,0,"No","Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Dont know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
13,0.3333333333333333,1,"No","Yes","No","Never","500-1000","No","Yes","Dont know","Not sure","No","Dont know","Dont know","Dont know","No","No","Yes","Yes","No","No","Dont know","No"
14,0.16666666666666669,1,"No","No","No","Never","6-25","No","Yes","Dont know","Not sure","Dont know","Dont know","Dont know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
15,0.20370370370370366,0,"No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Dont know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Dont know","No"
16,0.09259259259259262,1,"No","No","Yes","Sometimes","26-100","Yes","Yes","Dont know","No","Dont know","Dont know","Dont know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
17,0.25925925925925924,1,"No","No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Dont know","Dont know","Dont know","Maybe","No","Some of them","Yes","No","No","No","No"
18,0.5185185185185186,1,"Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Dont know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes"
19,0.3333333333333333,1,"Yes","Yes","No","Did not answer","6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Dont know","No"
20,0.20370370370370366,1,"No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No"
21,0.24074074074074076,1,"Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No"
22,0.5185185185185186,1,"No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Dont know","Dont know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
23,0.4259259259259259,1,"No","No","Yes","Never","More than 1000","No","No","Dont know","No","No","Dont know","Dont know","Dont know","Maybe","No","No","No","No","Yes","Dont know","No"
24,0.27777777777777773,1,"No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Dont know","Yes","Yes","Dont know","No","No","Yes","Yes","No","Yes","Dont know","No"
